problem,method,best,mean,median,std,worst,succ_rate,mean_ett,mean_wall,finals,obj_mean,obj_best,feas_rate,cfg_best
Sphere,DE,1.4134521539785597e-07,9.61208156969011e-06,5.900942060372068e-06,9.008097327001048e-06,3.480837429875739e-05,0.1,4846.333333333333,0.09407831827799479,"[1e-06, 5e-06, 2.7e-05, 6e-06, 6e-06, 2e-06, 2.1e-05, 1.2e-05, 6e-06, 3e-05, 1e-05, 2e-06, 3e-06, 3.5e-05, 0.0, 1.3e-05, 2.1e-05, 2.1e-05, 5e-06, 5e-06, 6e-06, 8e-06, 1e-06, 1e-05, 1e-05, 6e-06, 1e-06, 8e-06, 4e-06, 5e-06]",,,,
Sphere,CMA-ES,1.428239731028899e-34,1.1894362442643523e-31,2.2952179790019556e-32,3.143037606871299e-31,1.335446870394577e-30,1.0,1113.0,0.060427093505859376,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
Rastrigin,DE,25.421524827283662,40.75763378079202,41.12562755658786,4.712170924944093,53.20343953352424,0.0,-1,0.12081662813822429,"[43.227672, 36.917337, 46.82548, 41.952286, 43.543887, 41.027472, 40.053196, 38.291034, 35.01165, 34.838643, 41.091738, 43.089475, 43.166489, 41.159517, 43.500688, 43.528202, 37.48434, 42.540725, 38.014921, 36.828951, 40.891843, 43.271455, 38.481858, 25.421525, 37.595112, 45.895357, 38.49869, 44.289869, 53.20344, 43.086163]",,,,
Rastrigin,CMA-ES,2.9848771712798623,12.635966583327566,12.436980656937529,5.773894379676661,24.87393104152244,0.0,-1,0.07055075168609619,"[14.924371, 22.884013, 8.954626, 2.984877, 9.949586, 13.929417, 14.924371, 5.969754, 11.939504, 24.873931, 10.94454, 16.914289, 19.899141, 13.929412, 22.884033, 4.974795, 8.954626, 6.964708, 6.964708, 19.899146, 16.914289, 17.909228, 13.929417, 12.934458, 5.969754, 15.91933, 4.974795, 7.959667, 8.954626, 9.949586]",,,,
Ackley,DE,0.014033963229146185,0.03547338390180548,0.03145441116862324,0.014519561400867192,0.07194583240720975,0.0,-1,0.12054832776387532,"[0.030174, 0.031361, 0.048019, 0.030177, 0.033674, 0.018879, 0.044661, 0.028795, 0.071946, 0.033417, 0.031548, 0.021629, 0.041527, 0.026416, 0.021354, 0.060916, 0.015998, 0.022434, 0.0374, 0.037759, 0.014034, 0.024364, 0.04143, 0.058204, 0.03557, 0.066129, 0.025924, 0.053894, 0.030777, 0.025793]",,,,
Ackley,CMA-ES,3.9968028886505635e-15,5.773159728050814e-15,3.9968028886505635e-15,2.553673853456434e-15,1.4654943925052066e-14,1.0,1449.6666666666667,0.08241057395935059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
Rosenbrock,DE,4.9524968349260465,6.622643053754136,6.514490335932315,0.8823581027513003,8.914698824016924,0.0,-1,0.12051531473795572,"[6.590393, 8.444335, 6.314931, 7.547023, 6.855047, 6.98158, 8.914699, 6.127637, 7.209138, 5.355389, 6.917941, 5.4461, 7.017811, 6.93681, 6.21133, 6.217595, 5.480667, 7.852781, 5.807462, 7.354697, 6.211363, 6.438587, 6.080924, 7.582899, 6.40411, 5.83895, 6.616108, 5.999661, 6.970826, 4.952497]",,,,
Rosenbrock,CMA-ES,4.6305264965348926e-08,0.9298740221090855,0.10217019916067205,1.480765311648174,3.987879812561597,0.5,4405.666666666667,0.07918175061543782,"[0.038435, 0.090375, 0.063739, 0.0, 3.986581, 0.343482, 1.353451, 0.00346, 0.451862, 2.34571, 0.010098, 3.98788, 0.281541, 0.156455, 0.007238, 9e-06, 3.98658, 0.029611, 3.986579, 0.025184, 0.006447, 2.065131, 3.986665, 0.113965, 0.168082, 0.001954, 0.000496, 0.001135, 1e-06, 0.404076]",,,,
Griewank,DE,0.40584578254552084,0.6234231732096923,0.634597269422428,0.07931462615677615,0.7685472359265535,0.0,-1,0.11893026034037273,"[0.61305, 0.704225, 0.577724, 0.582593, 0.734906, 0.663643, 0.563341, 0.655219, 0.405846, 0.693865, 0.55512, 0.508869, 0.589301, 0.702651, 0.570007, 0.679554, 0.631482, 0.676417, 0.691725, 0.559633, 0.696339, 0.698172, 0.619601, 0.660023, 0.510036, 0.768547, 0.494794, 0.637713, 0.65682, 0.60148]",,,,
Griewank,CMA-ES,0.0,0.008945168683393793,0.007396040334115006,0.009950432960167423,0.039311372746610784,0.6666666666666666,1297.0,0.08014543056488037,"[0.009865, 0.0, 0.0, 0.009857, 0.0, 0.0, 0.0, 0.0, 0.017226, 0.0, 0.007396, 0.012321, 0.019678, 0.039311, 0.007396, 0.01969, 0.0, 0.0, 0.014772, 0.014772, 0.012321, 0.01478, 0.007396, 0.0, 0.0, 0.009857, 0.0, 0.034462, 0.007396, 0.009857]",,,,
Schwefel,DE,821.0040080366043,1390.770070577573,1415.9169359155605,271.40997228984264,1900.935328515653,0.0,-1,0.21293930212656656,"[1741.479354, 1773.993581, 1144.986959, 1651.220776, 1567.182039, 979.425388, 821.004008, 1622.365723, 1775.030619, 1304.01306, 1304.237863, 1464.829443, 1505.46115, 1900.935329, 1085.319597, 1367.004429, 1084.124193, 1523.709864, 1514.029267, 1111.935932, 1698.61257, 1287.71955, 1259.691312, 1539.951648, 1520.218045, 1616.497266, 1085.401581, 1138.868564, 1058.14556, 1275.707451]",,,,
Schwefel,CMA-ES,810.8484019749317,1527.0678325535332,1569.3488680060302,336.7362982249951,2151.700723835331,0.0,-1,0.14083117643992107,"[1857.695485, 1579.302318, 1974.157125, 2151.700724, 1184.402391, 1796.477599, 1895.133813, 1579.221587, 1144.909346, 1184.449149, 1579.246051, 1618.901098, 1144.931101, 1835.93667, 1778.224757, 1223.873681, 2072.825558, 1482.040021, 1105.470958, 1047.838704, 1638.579121, 1559.476149, 1184.49427, 1444.050222, 1638.546219, 1264.897642, 810.848402, 1539.785907, 2033.754926, 1460.863984]",,,,
ETC-Eff-op1,DE,-0.7603280233250767,-0.7603242884049597,-0.7603280233250767,6.770117644409902e-06,-0.7603120165245756,1.0,1.0,0.43193697929382324,"[-0.760312, -0.760328, -0.760328, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760328, -0.760328, -0.760328, -0.760312, -0.760312, -0.760328, -0.760328, -0.760328, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760328]",0.7603242884049597,0.7603280233250767,1.0,"[2, 0, 0.47386896613840607, 52.53448442806636, 2.8997075532014724]"
ETC-Eff-op1,CMA-ES,-0.7603280233250767,-0.7603165107725106,-0.7603200199248261,1.5437842480017628e-05,-0.7602648627345806,1.0,7.133333333333334,0.40688513914744057,"[-0.760312, -0.760283, -0.760328, -0.760283, -0.760312, -0.760312, -0.760328, -0.760312, -0.760312, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760312, -0.760328, -0.760328, -0.760265, -0.760312, -0.760312, -0.760312, -0.760328, -0.760312, -0.760328, -0.760328, -0.760328, -0.760328]",0.7603165107725106,0.7603280233250767,1.0,"[2, 0, 0.5612664360788219, 44.67435448374597, 3.3104387791871757]"
ETC-Eff-op2,DE,-0.7363611036790504,-0.7363556757583577,-0.7363611036790504,2.9230247491412638e-05,-0.7361982660582629,1.0,1.0,0.8766730467478434,"[-0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736361, -0.736198, -0.736361, -0.736361, -0.736361]",0.7363556757583577,0.7363611036790504,1.0,"[2, 0, 2.4789869198772387, 35.00910646387533, 4.327577934468682]"
ETC-Eff-op2,CMA-ES,-0.7363354536274538,-0.7362956119635994,-0.7363354536274538,5.725997939410157e-05,-0.7361982660582629,1.0,5.0,0.866612450281779,"[-0.736198, -0.736335, -0.736335, -0.736198, -0.736198, -0.736335, -0.736234, -0.736335, -0.736335, -0.736234, -0.736198, -0.736234, -0.736335, -0.736335, -0.736198, -0.736335, -0.736234, -0.736335, -0.736335, -0.736335, -0.736335, -0.736335, -0.736234, -0.736335, -0.736335, -0.736335, -0.736335, -0.736335, -0.736335, -0.736335]",0.7362956119635994,0.7363354536274538,1.0,"[2, 0, 2.3599729610923323, 49.484661233671766, 4.1605821651047155]"
