problem,method,obj_best,obj_mean,feasible_rate,best_config
ETC-Eff-op1,HH-UCB,0.76033,0.76032,1.0,Graphene-TiO2/Distilled water w=0.52 s=39.7 V=2.65
ETC-Eff-op1,HH-Random,0.76033,0.76032,1.0,Graphene-TiO2/Distilled water w=0.61 s=38.4 V=2.83
ETC-Eff-op1,DE,0.76033,0.76032,1.0,Graphene-TiO2/Distilled water w=0.47 s=52.5 V=2.90
ETC-Eff-op1,CMA-ES,0.76033,0.76032,1.0,Graphene-TiO2/Distilled water w=0.56 s=44.7 V=3.31
ETC-Eff-op1,SA,0.76033,0.7603,1.0,Graphene-TiO2/Distilled water w=0.48 s=55.5 V=3.06
ETC-Eff-op1,Tabu,0.76033,0.76029,1.0,Graphene-TiO2/Distilled water w=0.50 s=57.9 V=3.03
ETC-Eff-op1,VNS,0.76033,0.76029,1.0,Graphene-TiO2/Distilled water w=0.52 s=49.1 V=2.67
ETC-Eff-op1,LNS,0.76033,0.76033,1.0,Graphene-TiO2/Distilled water w=0.68 s=53.5 V=3.27
ETC-Eff-op1,DE/rand/1,0.76033,0.76031,1.0,Graphene-TiO2/Distilled water w=0.48 s=44.6 V=2.52
ETC-Eff-op1,DE/best/1,0.76033,0.76027,1.0,Graphene-TiO2/Distilled water w=0.64 s=51.8 V=2.61
ETC-Eff-op1,PSO,0.76394,0.75845,0.8666666666666667,MWCNT-Fe3O4/Distilled water w=1.46 s=55.9 V=3.67
ETC-Eff-op1,perturb-V,0.76031,0.75861,1.0,Al2O3-Cu/Distilled water w=2.28 s=39.6 V=2.60
ETC-Eff-op1,perturb-w,0.76375,0.75859,0.8666666666666667,MWCNT-Fe3O4/Distilled water w=0.44 s=55.9 V=3.67
ETC-Eff-op1,perturb-share,0.76394,0.75855,0.8666666666666667,MWCNT-Fe3O4/Distilled water w=1.46 s=55.9 V=3.67
ETC-Eff-op1,swap-hybrid,0.76394,0.75858,0.8666666666666667,MWCNT-Fe3O4/Distilled water w=1.46 s=55.9 V=3.67
ETC-Eff-op1,swap-fluid,0.76394,0.75994,0.8666666666666667,MWCNT-Fe3O4/Distilled water w=1.46 s=55.9 V=3.67
ETC-Eff-op2,HH-UCB,0.73636,0.73635,1.0,Graphene-TiO2/Distilled water w=2.51 s=36.1 V=3.51
ETC-Eff-op2,HH-Random,0.73636,0.73634,1.0,Graphene-TiO2/Distilled water w=2.61 s=28.9 V=3.86
ETC-Eff-op2,DE,0.73636,0.73636,1.0,Graphene-TiO2/Distilled water w=2.48 s=35.0 V=4.33
ETC-Eff-op2,CMA-ES,0.73634,0.7363,1.0,Graphene-TiO2/Distilled water w=2.36 s=49.5 V=4.16
ETC-Eff-op2,SA,0.73636,0.73632,1.0,Graphene-TiO2/Distilled water w=2.33 s=29.0 V=3.85
ETC-Eff-op2,Tabu,0.73636,0.73629,1.0,Graphene-TiO2/Distilled water w=2.51 s=36.1 V=3.51
ETC-Eff-op2,VNS,0.73636,0.73631,1.0,Graphene-TiO2/Distilled water w=2.29 s=34.4 V=3.83
ETC-Eff-op2,LNS,0.73636,0.73636,1.0,Graphene-TiO2/Distilled water w=2.67 s=29.8 V=3.67
ETC-Eff-op2,DE/rand/1,0.73636,0.73625,1.0,Graphene-TiO2/Distilled water w=2.75 s=25.0 V=3.88
ETC-Eff-op2,DE/best/1,0.73636,0.736,1.0,Graphene-TiO2/Distilled water w=2.31 s=27.2 V=3.61
ETC-Eff-op2,PSO,0.73634,0.73464,1.0,Graphene-TiO2/Distilled water w=2.69 s=43.8 V=3.98
ETC-Eff-op2,perturb-V,0.73634,0.73568,1.0,Graphene-TiO2/Distilled water w=2.69 s=43.8 V=3.98
ETC-Eff-op2,perturb-w,0.73636,0.73477,1.0,Graphene-TiO2/Distilled water w=2.38 s=33.7 V=4.31
ETC-Eff-op2,perturb-share,0.73636,0.73467,1.0,Graphene-TiO2/Distilled water w=2.69 s=26.5 V=3.98
ETC-Eff-op2,swap-hybrid,0.73634,0.73473,1.0,Graphene-TiO2/Distilled water w=2.57 s=57.2 V=3.73
ETC-Eff-op2,swap-fluid,0.73634,0.73496,1.0,Graphene-TiO2/Distilled water w=2.69 s=43.8 V=3.98
ETC-PEC-op1,HH-UCB,1.01053,1.01052,1.0,Al2O3-Cu/EG/water 60:40 w=2.81 s=25.0 V=2.09
ETC-PEC-op1,HH-Random,1.01053,1.01052,1.0,Al2O3-Cu/EG/water 60:40 w=3.00 s=25.0 V=2.36
ETC-PEC-op1,DE,1.01053,1.01052,1.0,Al2O3-Cu/EG/water 60:40 w=2.88 s=36.6 V=2.16
ETC-PEC-op1,CMA-ES,1.01053,1.00563,1.0,Al2O3-Cu/EG/water 60:40 w=3.00 s=32.5 V=2.48
ETC-PEC-op1,SA,1.01053,1.01041,1.0,Al2O3-Cu/EG/water 60:40 w=3.00 s=25.0 V=2.27
ETC-PEC-op1,Tabu,1.01053,1.01029,1.0,Al2O3-Cu/EG/water 60:40 w=2.93 s=32.4 V=2.38
ETC-PEC-op1,VNS,1.01053,1.01052,1.0,Al2O3-Cu/EG/water 60:40 w=3.00 s=37.0 V=1.81
ETC-PEC-op1,LNS,1.01053,1.01053,1.0,Al2O3-Cu/EG/water 60:40 w=2.88 s=26.5 V=1.85
ETC-PEC-op1,DE/rand/1,1.01053,1.01029,1.0,Al2O3-Cu/EG/water 60:40 w=2.89 s=25.0 V=2.00
ETC-PEC-op1,DE/best/1,1.01053,1.00785,1.0,Al2O3-Cu/EG/water 60:40 w=3.00 s=36.9 V=1.90
ETC-PEC-op1,PSO,1.00713,1.00278,1.0,Al2O3-Cu/Distilled water w=2.02 s=29.8 V=0.61
ETC-PEC-op1,perturb-V,1.00838,1.00401,1.0,Al2O3-Cu/EG/water 60:40 w=2.29 s=30.3 V=1.82
ETC-PEC-op1,perturb-w,1.01053,1.00445,1.0,Al2O3-Cu/EG/water 60:40 w=2.95 s=27.5 V=2.27
